date,timeMODIS,timeImage,cloudMaskForMODISTime,coverageForMODISTime
2015-04-13 14:35:00,2015-04-13 14:35:00,2015-04-13 14:34:02,1.0,0.738844
2015-04-15 14:25:00,2015-04-15 14:25:00,2015-04-15 14:24:02,1.0,0.437816
2015-04-16 15:05:00,2015-04-16 15:05:00,2015-04-16 15:04:01,1.0,0.33168
2015-04-17 14:10:00,2015-04-17 14:10:00,2015-04-17 14:10:01,0.444444444444,0.97178
2015-04-18 14:55:00,2015-04-18 14:55:00,2015-04-18 14:54:01,1.0,0.632016
2015-04-22 14:30:00,2015-04-22 14:30:00,2015-04-22 14:30:01,1.0,0.509748
2015-04-25 15:00:00,2015-04-25 15:00:00,2015-04-25 15:00:01,1.0,0.945452
2015-04-26 14:05:00,2015-04-26 14:05:00,2015-04-26 14:04:00,1.0,0.924168
2015-04-27 14:50:00,2015-04-27 14:50:00,2015-04-27 14:50:01,1.0,0.616876
2015-04-29 14:35:00,2015-04-29 14:35:00,2015-04-29 14:34:01,1.0,0.597096
2015-05-03 14:10:00,2015-05-03 14:10:00,2015-05-03 14:10:01,1.0,0.707492
2015-05-04 14:55:00,2015-05-04 14:55:00,2015-05-04 14:54:01,0.777777777778,0.892872
2015-05-06 14:40:00,2015-05-06 14:40:00,2015-05-06 14:40:01,0.444444444444,0.437108
2015-05-08 14:30:00,2015-05-08 14:30:00,2015-05-08 14:30:00,1.0,0.72432
2015-05-11 15:00:00,2015-05-11 15:00:00,2015-05-11 15:00:01,1.0,0.725372
2015-05-12 14:05:00,2015-05-12 14:05:00,2015-05-12 14:04:01,1.0,0.457244
2015-05-13 14:50:00,2015-05-13 14:50:00,2015-05-13 14:50:00,1.0,0.701172
2015-05-19 14:10:00,2015-05-19 14:10:00,2015-05-19 14:10:01,1.0,0.740752
2015-05-20 14:55:00,2015-05-20 14:55:00,2015-05-20 14:54:01,1.0,0.80714
2015-05-22 14:40:00,2015-05-22 14:40:00,2015-05-22 14:40:00,1.0,0.164316
2015-05-24 14:30:00,2015-05-24 14:30:00,2015-05-24 14:30:01,1.0,0.843484
2015-05-25 15:10:00,2015-05-25 15:10:00,2015-05-25 15:10:01,1.0,0.512988
2015-05-26 14:15:00,2015-05-26 14:15:00,2015-05-26 14:14:00,1.0,0.933036
2015-05-27 15:00:00,2015-05-27 15:00:00,2015-05-27 15:00:00,1.0,0.450136
